orderId,itemId,Quantity,Name,catId,catName
61,9,1,Simply Veggie Pizza,27,Pizza 
61,36,1,Cheese Garlic Bread ,29,Starters
62,21,1,Rainbow Veggie Pizza ,27,Pizza 
62,27,1,Hot Chilli Pizza,27,Pizza 
62,95,2,Mountain Dew ,38,Beverages 
65,77,1,Chicken Delight ,27,Pizza 
65,90,1,French Fries,29,Starters
65,95,1,Mountain Dew ,38,Beverages 
65,98,1,Miranda,38,Beverages 
66,92,1,Cheesy Chicken Pasta ,37,NULL
66,34,3,Cheese Sticks ,29,Starters
67,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
67,34,1,Cheese Sticks ,29,Starters
67,90,1,French Fries,29,Starters
68,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
68,34,1,Cheese Sticks ,29,Starters
68,90,1,French Fries,29,Starters
68,95,1,Mountain Dew ,38,Beverages 
68,96,1,7UP,38,Beverages 
68,97,1,Pepsi,38,Beverages 
69,7,1,Margherita Pizza,27,Pizza 
69,97,2,Pepsi,38,Beverages 
70,16,1,Corn Exotica Pizza,27,Pizza 
70,91,1,Cheesy Veggi Pasta ,37,NULL
70,98,1,Miranda,38,Beverages 
71,84,1,Punjabi Chicken Tikka ,27,Pizza 
71,36,1,Cheese Garlic Bread ,29,Starters
72,7,1,Margherita Pizza,27,Pizza 
72,7,2,Margherita Pizza,27,Pizza 
72,96,1,7UP,38,Beverages 
74,7,1,Margherita Pizza,27,Pizza 
74,16,1,Corn Exotica Pizza,27,Pizza 
80,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
80,16,1,Corn Exotica Pizza,27,Pizza 
80,7,1,Margherita Pizza,27,Pizza 
83,87,1,BBQ Cottage Cheese,28,Pizza Cones
83,16,1,Corn Exotica Pizza,27,Pizza 
83,17,2,Veg Supreme Pizza,27,Pizza 
84,87,1,BBQ Cottage Cheese,28,Pizza Cones
85,87,1,BBQ Cottage Cheese,28,Pizza Cones
85,35,1,Garlic Bread,29,Starters
85,106,1,Brownie,0,NULL
85,106,1,Brownie,0,NULL
92,102,1,Meal For 4 Non-veg,39,Meal Deal
92,106,1,Brownie,0,NULL
92,99,1,Meal For 2 Veg,39,Meal Deal
94,35,1,Garlic Bread,29,Starters
94,39,1,Lava Cake,31,Desserts
94,87,1,BBQ Cottage Cheese,28,Pizza Cones
94,97,1,Pepsi,38,Beverages 
96,33,1,Potato Wedges,29,Starters
96,15,1,Veggie Lovers Pizza ,27,Pizza 
99,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
99,11,1,Garden Fresh Pizza ,27,Pizza 
100,87,1,BBQ Cottage Cheese,28,Pizza Cones
100,7,3,Margherita Pizza,27,Pizza 
100,9,1,Simply Veggie Pizza,27,Pizza 
101,106,1,Brownie,0,NULL
101,7,1,Margherita Pizza,27,Pizza 
101,85,1,Tandoori Chicken,27,Pizza 
102,11,2,Garden Fresh Pizza ,27,Pizza 
102,106,1,Brownie,0,NULL
103,11,2,Garden Fresh Pizza ,27,Pizza 
103,106,1,Brownie,0,NULL
104,106,1,Brownie,0,NULL
104,7,2,Margherita Pizza,27,Pizza 
104,95,1,Mountain Dew ,38,Beverages 
104,95,1,Mountain Dew ,38,Beverages 
104,95,2,Mountain Dew ,38,Beverages 
104,7,1,Margherita Pizza,27,Pizza 
104,85,2,Tandoori Chicken,27,Pizza 
105,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
105,15,2,Veggie Lovers Pizza ,27,Pizza 
105,106,1,Brownie,0,NULL
105,7,1,Margherita Pizza,27,Pizza 
106,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
106,9,1,Simply Veggie Pizza,27,Pizza 
106,106,1,Brownie,0,NULL
106,85,1,Tandoori Chicken,27,Pizza 
106,96,1,7UP,38,Beverages 
106,97,1,Pepsi,38,Beverages 
107,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
107,9,1,Simply Veggie Pizza,27,Pizza 
107,98,1,Miranda,38,Beverages 
108,34,1,Cheese Sticks ,29,Starters
108,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
108,15,2,Veggie Lovers Pizza ,27,Pizza 
108,86,1,Pepperoni,27,Pizza 
108,101,1,Meal For 4 Veg ,39,Meal Deal
109,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
109,100,1,Meal For 2 Non-veg,39,Meal Deal
109,11,2,Garden Fresh Pizza ,27,Pizza 
109,96,1,7UP,38,Beverages 
110,7,2,Margherita Pizza,27,Pizza 
110,96,1,7UP,38,Beverages 
111,7,1,Margherita Pizza,27,Pizza 
111,106,1,Brownie,0,NULL
111,39,1,Lava Cake,31,Desserts
111,101,1,Meal For 4 Veg ,39,Meal Deal
111,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
113,35,1,Garlic Bread,29,Starters
113,98,1,Miranda,38,Beverages 
113,87,1,BBQ Cottage Cheese,28,Pizza Cones
113,100,1,Meal For 2 Non-veg,39,Meal Deal
114,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
114,9,2,Simply Veggie Pizza,27,Pizza 
115,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
115,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
115,16,1,Corn Exotica Pizza,27,Pizza 
119,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
119,106,1,Brownie,0,NULL
120,87,1,BBQ Cottage Cheese,28,Pizza Cones
122,106,1,Brownie,0,NULL
122,101,1,Meal For 4 Veg ,39,Meal Deal
123,11,1,Garden Fresh Pizza ,27,Pizza 
123,11,1,Garden Fresh Pizza ,27,Pizza 
123,11,1,Garden Fresh Pizza ,27,Pizza 
125,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
125,16,1,Corn Exotica Pizza,27,Pizza 
126,97,1,Pepsi,38,Beverages 
126,102,1,Meal For 4 Non-veg,39,Meal Deal
129,9,1,Simply Veggie Pizza,27,Pizza 
129,15,3,Veggie Lovers Pizza ,27,Pizza 
131,7,1,Margherita Pizza,27,Pizza 
131,9,2,Simply Veggie Pizza,27,Pizza 
140,36,1,Cheese Garlic Bread ,29,Starters
140,34,1,Cheese Sticks ,29,Starters
140,33,1,Potato Wedges,29,Starters
140,9,1,Simply Veggie Pizza,27,Pizza 
140,16,1,Corn Exotica Pizza,27,Pizza 
140,87,1,BBQ Cottage Cheese,28,Pizza Cones
140,102,1,Meal For 4 Non-veg,39,Meal Deal
140,35,1,Garlic Bread,29,Starters
140,104,1,Meal For 6 Non-veg,39,Meal Deal
140,35,1,Garlic Bread,29,Starters
141,87,1,BBQ Cottage Cheese,28,Pizza Cones
141,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
141,87,1,BBQ Cottage Cheese,28,Pizza Cones
141,11,1,Garden Fresh Pizza ,27,Pizza 
142,99,1,Meal For 2 Veg,39,Meal Deal
142,36,1,Cheese Garlic Bread ,29,Starters
144,9,1,Simply Veggie Pizza,27,Pizza 
144,11,1,Garden Fresh Pizza ,27,Pizza 
144,99,1,Meal For 2 Veg,39,Meal Deal
144,15,1,Veggie Lovers Pizza ,27,Pizza 
147,16,1,Corn Exotica Pizza,27,Pizza 
147,33,1,Potato Wedges,29,Starters
147,106,1,Brownie,0,NULL
147,95,1,Mountain Dew ,38,Beverages 
149,7,2,Margherita Pizza,27,Pizza 
149,11,1,Garden Fresh Pizza ,27,Pizza 
149,39,1,Lava Cake,31,Desserts
150,7,1,Margherita Pizza,27,Pizza 
150,17,1,Veg Supreme Pizza,27,Pizza 
151,39,1,Lava Cake,31,Desserts
151,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
1,7,1,Margherita Pizza,27,Pizza 
1,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
1,34,1,Cheese Sticks ,29,Starters
1,98,1,Miranda,38,Beverages 
636,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
636,87,1,BBQ Cottage Cheese,28,Pizza Cones
636,101,1,Meal For 4 Veg ,39,Meal Deal
636,33,1,Potato Wedges,29,Starters
636,106,1,Brownie,0,NULL
636,39,1,Lava Cake,31,Desserts
637,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
637,34,1,Cheese Sticks ,29,Starters
637,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
637,87,1,BBQ Cottage Cheese,28,Pizza Cones
638,35,1,Garlic Bread,29,Starters
638,90,1,French Fries,29,Starters
639,106,1,Brownie,0,NULL
639,96,1,7UP,38,Beverages 
639,87,1,BBQ Cottage Cheese,28,Pizza Cones
640,7,1,Margherita Pizza,27,Pizza 
640,31,2,Garden Fresh Pizza Cone,28,Pizza Cones
641,33,1,Potato Wedges,29,Starters
641,106,1,Brownie,0,NULL
641,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
643,95,1,Mountain Dew ,38,Beverages 
643,106,1,Brownie,0,NULL
643,39,1,Lava Cake,31,Desserts
644,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
644,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
645,34,1,Cheese Sticks ,29,Starters
645,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
645,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
645,34,1,Cheese Sticks ,29,Starters
645,97,1,Pepsi,38,Beverages 
645,101,1,Meal For 4 Veg ,39,Meal Deal
645,101,1,Meal For 4 Veg ,39,Meal Deal
645,96,1,7UP,38,Beverages 
645,96,1,7UP,38,Beverages 
645,96,1,7UP,38,Beverages 
645,96,1,7UP,38,Beverages 
645,34,1,Cheese Sticks ,29,Starters
645,87,1,BBQ Cottage Cheese,28,Pizza Cones
645,96,1,7UP,38,Beverages 
645,106,1,Brownie,0,NULL
645,101,1,Meal For 4 Veg ,39,Meal Deal
646,100,1,Meal For 2 Non-veg,39,Meal Deal
646,106,1,Brownie,0,NULL
646,101,1,Meal For 4 Veg ,39,Meal Deal
646,100,1,Meal For 2 Non-veg,39,Meal Deal
646,96,1,7UP,38,Beverages 
646,101,1,Meal For 4 Veg ,39,Meal Deal
646,96,1,7UP,38,Beverages 
646,102,1,Meal For 4 Non-veg,39,Meal Deal
646,97,1,Pepsi,38,Beverages 
646,97,1,Pepsi,38,Beverages 
646,39,1,Lava Cake,31,Desserts
646,97,1,Pepsi,38,Beverages 
646,97,1,Pepsi,38,Beverages 
646,34,1,Cheese Sticks ,29,Starters
647,7,1,Margherita Pizza,27,Pizza 
647,96,1,7UP,38,Beverages 
648,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
648,100,1,Meal For 2 Non-veg,39,Meal Deal
648,39,1,Lava Cake,31,Desserts
649,33,1,Potato Wedges,29,Starters
649,39,1,Lava Cake,31,Desserts
652,34,1,Cheese Sticks ,29,Starters
652,39,1,Lava Cake,31,Desserts
660,39,1,Lava Cake,31,Desserts
660,39,1,Lava Cake,31,Desserts
660,39,1,Lava Cake,31,Desserts
660,39,1,Lava Cake,31,Desserts
661,39,1,Lava Cake,31,Desserts
661,39,1,Lava Cake,31,Desserts
661,39,1,Lava Cake,31,Desserts
661,39,1,Lava Cake,31,Desserts
674,95,1,Mountain Dew ,38,Beverages 
674,7,2,Margherita Pizza,27,Pizza 
680,7,3,Margherita Pizza,27,Pizza 
680,101,1,Meal For 4 Veg ,39,Meal Deal
680,96,1,7UP,38,Beverages 
681,7,3,Margherita Pizza,27,Pizza 
681,39,1,Lava Cake,31,Desserts
681,96,1,7UP,38,Beverages 
682,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
682,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
683,99,1,Meal For 2 Veg,39,Meal Deal
683,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
683,34,1,Cheese Sticks ,29,Starters
683,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
683,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
684,95,1,Mountain Dew ,38,Beverages 
684,33,1,Potato Wedges,29,Starters
684,39,1,Lava Cake,31,Desserts
685,33,1,Potato Wedges,29,Starters
685,39,1,Lava Cake,31,Desserts
685,39,1,Lava Cake,31,Desserts
685,7,1,Margherita Pizza,27,Pizza 
685,34,1,Cheese Sticks ,29,Starters
686,96,1,7UP,38,Beverages 
686,95,1,Mountain Dew ,38,Beverages 
686,100,1,Meal For 2 Non-veg,39,Meal Deal
686,33,1,Potato Wedges,29,Starters
686,7,3,Margherita Pizza,27,Pizza 
688,33,1,Potato Wedges,29,Starters
688,7,1,Margherita Pizza,27,Pizza 
693,101,2,Meal For 4 Veg ,39,Meal Deal
693,101,1,Meal For 4 Veg ,39,Meal Deal
696,95,1,Mountain Dew ,38,Beverages 
696,95,1,Mountain Dew ,38,Beverages 
697,7,1,Margherita Pizza,27,Pizza 
697,90,1,French Fries,29,Starters
702,7,1,Margherita Pizza,27,Pizza 
702,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
704,7,1,Margherita Pizza,27,Pizza 
704,99,1,Meal For 2 Veg,39,Meal Deal
707,7,1,Margherita Pizza,27,Pizza 
707,15,2,Veggie Lovers Pizza ,27,Pizza 
707,17,1,Veg Supreme Pizza,27,Pizza 
708,88,2,Chicken Fingers(Boneless) ,29,Starters
708,90,2,French Fries,29,Starters
708,85,1,Tandoori Chicken,27,Pizza 
709,15,1,Veggie Lovers Pizza ,27,Pizza 
709,88,1,Chicken Fingers(Boneless) ,29,Starters
710,17,1,Veg Supreme Pizza,27,Pizza 
710,23,1,Jughalbandhi,27,Pizza 
711,99,1,Meal For 2 Veg,39,Meal Deal
711,7,5,Margherita Pizza,27,Pizza 
711,90,3,French Fries,29,Starters
713,7,5,Margherita Pizza,27,Pizza 
713,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
713,90,5,French Fries,29,Starters
713,88,1,Chicken Fingers(Boneless) ,29,Starters
718,99,1,Meal For 2 Veg,39,Meal Deal
718,90,1,French Fries,29,Starters
718,33,1,Potato Wedges,29,Starters
721,39,1,Lava Cake,31,Desserts
721,7,1,Margherita Pizza,27,Pizza 
723,37,1,Super Cheese,29,Starters
723,88,1,Chicken Fingers(Boneless) ,29,Starters
726,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
726,99,1,Meal For 2 Veg,39,Meal Deal
728,7,5,Margherita Pizza,27,Pizza 
728,90,1,French Fries,29,Starters
737,23,2,Jughalbandhi,27,Pizza 
737,77,1,Chicken Delight ,27,Pizza 
737,84,1,Punjabi Chicken Tikka ,27,Pizza 
745,7,1,Margherita Pizza,27,Pizza 
745,9,2,Simply Veggie Pizza,27,Pizza 
745,90,1,French Fries,29,Starters
747,7,1,Margherita Pizza,27,Pizza 
747,7,1,Margherita Pizza,27,Pizza 
747,90,1,French Fries,29,Starters
749,7,1,Margherita Pizza,27,Pizza 
749,25,1,Panner Tandoori Pizza,27,Pizza 
749,36,2,Cheese Garlic Bread ,29,Starters
750,33,1,Potato Wedges,29,Starters
750,90,1,French Fries,29,Starters
757,7,1,Margherita Pizza,27,Pizza 
757,7,1,Margherita Pizza,27,Pizza 
758,7,1,Margherita Pizza,27,Pizza 
758,81,1,All Meat Extravaganza,27,Pizza 
758,88,1,Chicken Fingers(Boneless) ,29,Starters
763,27,1,Hot Chilli Pizza,27,Pizza 
763,97,2,Pepsi,38,Beverages 
763,90,1,French Fries,29,Starters
765,90,1,French Fries,29,Starters
765,15,1,Veggie Lovers Pizza ,27,Pizza 
776,25,1,Panner Tandoori Pizza,27,Pizza 
776,90,1,French Fries,29,Starters
778,90,1,French Fries,29,Starters
778,7,1,Margherita Pizza,27,Pizza 
782,7,1,Margherita Pizza,27,Pizza 
782,7,1,Margherita Pizza,27,Pizza 
783,7,1,Margherita Pizza,27,Pizza 
783,90,1,French Fries,29,Starters
783,7,1,Margherita Pizza,27,Pizza 
784,17,1,Veg Supreme Pizza,27,Pizza 
784,90,1,French Fries,29,Starters
786,7,1,Margherita Pizza,27,Pizza 
786,7,1,Margherita Pizza,27,Pizza 
786,97,1,Pepsi,38,Beverages 
786,97,1,Pepsi,38,Beverages 
789,7,1,Margherita Pizza,27,Pizza 
789,97,2,Pepsi,38,Beverages 
789,90,1,French Fries,29,Starters
793,7,1,Margherita Pizza,27,Pizza 
793,34,1,Cheese Sticks ,29,Starters
793,86,1,Pepperoni,27,Pizza 
793,77,1,Chicken Delight ,27,Pizza 
795,96,1,7UP,38,Beverages 
795,97,1,Pepsi,38,Beverages 
795,97,1,Pepsi,38,Beverages 
796,7,1,Margherita Pizza,27,Pizza 
796,7,1,Margherita Pizza,27,Pizza 
796,97,1,Pepsi,38,Beverages 
797,77,1,Chicken Delight ,27,Pizza 
797,90,1,French Fries,29,Starters
798,39,1,Lava Cake,31,Desserts
798,77,1,Chicken Delight ,27,Pizza 
798,90,1,French Fries,29,Starters
800,15,1,Veggie Lovers Pizza ,27,Pizza 
800,90,1,French Fries,29,Starters
801,97,1,Pepsi,38,Beverages 
801,97,1,Pepsi,38,Beverages 
802,85,1,Tandoori Chicken,27,Pizza 
802,98,4,Miranda,38,Beverages 
803,77,1,Chicken Delight ,27,Pizza 
803,90,1,French Fries,29,Starters
803,109,1,Cheesy Veggie Pasta,55,Pasta
804,83,1,Supreme Combo,27,Pizza 
804,96,2,7UP,38,Beverages 
804,96,1,7UP,38,Beverages 
805,81,1,All Meat Extravaganza,27,Pizza 
805,90,1,French Fries,29,Starters
805,96,1,7UP,38,Beverages 
805,97,1,Pepsi,38,Beverages 
806,25,1,Panner Tandoori Pizza,27,Pizza 
806,90,1,French Fries,29,Starters
811,85,1,Tandoori Chicken,27,Pizza 
811,90,1,French Fries,29,Starters
811,36,1,Cheese Garlic Bread ,29,Starters
812,17,3,Veg Supreme Pizza,27,Pizza 
812,36,3,Cheese Garlic Bread ,29,Starters
813,34,2,Cheese Sticks ,29,Starters
813,7,1,Margherita Pizza,27,Pizza 
813,90,2,French Fries,29,Starters
813,7,1,Margherita Pizza,27,Pizza 
817,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
817,33,1,Potato Wedges,29,Starters
819,97,5,Pepsi,38,Beverages 
819,33,2,Potato Wedges,29,Starters
820,7,1,Margherita Pizza,27,Pizza 
820,36,1,Cheese Garlic Bread ,29,Starters
821,17,1,Veg Supreme Pizza,27,Pizza 
821,109,1,Cheesy Veggie Pasta,55,Pasta
821,97,1,Pepsi,38,Beverages 
821,96,1,7UP,38,Beverages 
823,82,1,Chicken Supreme ,27,Pizza 
823,88,1,Chicken Fingers(Boneless) ,29,Starters
823,39,2,Lava Cake,31,Desserts
823,97,1,Pepsi,38,Beverages 
824,90,1,French Fries,29,Starters
824,96,1,7UP,38,Beverages 
825,7,1,Margherita Pizza,27,Pizza 
825,90,1,French Fries,29,Starters
826,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
826,90,1,French Fries,29,Starters
827,17,1,Veg Supreme Pizza,27,Pizza 
827,90,1,French Fries,29,Starters
827,97,1,Pepsi,38,Beverages 
828,7,1,Margherita Pizza,27,Pizza 
830,36,1,Cheese Garlic Bread ,29,Starters
830,36,1,Cheese Garlic Bread ,29,Starters
833,90,1,French Fries,29,Starters
833,7,1,Margherita Pizza,27,Pizza 
834,7,1,Margherita Pizza,27,Pizza 
834,90,1,French Fries,29,Starters
835,77,1,Chicken Delight ,27,Pizza 
835,90,1,French Fries,29,Starters
836,7,1,Margherita Pizza,27,Pizza 
836,97,2,Pepsi,38,Beverages 
843,90,1,French Fries,29,Starters
843,97,1,Pepsi,38,Beverages 
843,96,1,7UP,38,Beverages 
844,15,1,Veggie Lovers Pizza ,27,Pizza 
844,96,1,7UP,38,Beverages 
845,7,1,Margherita Pizza,27,Pizza 
845,90,1,French Fries,29,Starters
848,77,1,Chicken Delight ,27,Pizza 
848,36,1,Cheese Garlic Bread ,29,Starters
848,98,1,Miranda,38,Beverages 
851,100,1,Meal For 2 Non-veg,39,Meal Deal
851,19,1,Veg Feast Pizza ,27,Pizza 
853,90,1,French Fries,29,Starters
853,78,1,Chicken Sausage ,27,Pizza 
858,34,1,Cheese Sticks ,29,Starters
858,36,1,Cheese Garlic Bread ,29,Starters
858,97,1,Pepsi,38,Beverages 
859,16,1,Corn Exotica Pizza,27,Pizza 
859,88,1,Chicken Fingers(Boneless) ,29,Starters
860,79,1,Grilled Chicken ,27,Pizza 
860,90,1,French Fries,29,Starters
865,9,1,Simply Veggie Pizza,27,Pizza 
865,39,1,Lava Cake,31,Desserts
868,16,1,Corn Exotica Pizza,27,Pizza 
868,90,1,French Fries,29,Starters
869,9,1,Simply Veggie Pizza,27,Pizza 
870,7,1,Margherita Pizza,27,Pizza 
870,90,1,French Fries,29,Starters
871,77,1,Chicken Delight ,27,Pizza 
871,90,1,French Fries,29,Starters
872,90,1,French Fries,29,Starters
872,97,1,Pepsi,38,Beverages 
874,7,1,Margherita Pizza,27,Pizza 
874,25,1,Panner Tandoori Pizza,27,Pizza 
874,35,1,Garlic Bread,29,Starters
874,90,1,French Fries,29,Starters
875,90,1,French Fries,29,Starters
875,97,1,Pepsi,38,Beverages 
878,33,1,Potato Wedges,29,Starters
878,90,1,French Fries,29,Starters
878,11,1,Garden Fresh Pizza ,27,Pizza 
880,7,1,Margherita Pizza,27,Pizza 
880,90,1,French Fries,29,Starters
882,7,1,Margherita Pizza,27,Pizza 
882,33,1,Potato Wedges,29,Starters
889,23,1,Jughalbandhi,27,Pizza 
889,97,1,Pepsi,38,Beverages 
890,77,1,Chicken Delight ,27,Pizza 
890,39,1,Lava Cake,31,Desserts
893,7,1,Margherita Pizza,27,Pizza 
893,90,1,French Fries,29,Starters
896,90,2,French Fries,29,Starters
896,98,1,Miranda,38,Beverages 
900,34,1,Cheese Sticks ,29,Starters
900,23,1,Jughalbandhi,27,Pizza 
900,97,2,Pepsi,38,Beverages 
901,25,1,Panner Tandoori Pizza,27,Pizza 
901,29,1,Veg Kolhapuri Pizza,27,Pizza 
901,90,2,French Fries,29,Starters
908,109,1,Cheesy Veggie Pasta,55,Pasta
908,90,1,French Fries,29,Starters
910,17,1,Veg Supreme Pizza,27,Pizza 
910,96,1,7UP,38,Beverages 
911,25,1,Panner Tandoori Pizza,27,Pizza 
911,98,1,Miranda,38,Beverages 
913,90,1,French Fries,29,Starters
913,36,1,Cheese Garlic Bread ,29,Starters
914,7,1,Margherita Pizza,27,Pizza 
914,78,1,Chicken Sausage ,27,Pizza 
914,96,1,7UP,38,Beverages 
914,39,1,Lava Cake,31,Desserts
915,33,1,Potato Wedges,29,Starters
915,97,2,Pepsi,38,Beverages 
916,90,1,French Fries,29,Starters
916,33,1,Potato Wedges,29,Starters
916,16,1,Corn Exotica Pizza,27,Pizza 
917,79,1,Grilled Chicken ,27,Pizza 
917,97,2,Pepsi,38,Beverages 
919,16,1,Corn Exotica Pizza,27,Pizza 
919,97,2,Pepsi,38,Beverages 
923,7,1,Margherita Pizza,27,Pizza 
923,90,1,French Fries,29,Starters
925,77,1,Chicken Delight ,27,Pizza 
925,90,2,French Fries,29,Starters
927,7,2,Margherita Pizza,27,Pizza 
927,35,1,Garlic Bread,29,Starters
927,98,2,Miranda,38,Beverages 
932,97,1,Pepsi,38,Beverages 
932,97,1,Pepsi,38,Beverages 
934,33,1,Potato Wedges,29,Starters
934,90,1,French Fries,29,Starters
935,97,2,Pepsi,38,Beverages 
935,98,2,Miranda,38,Beverages 
936,7,1,Margherita Pizza,27,Pizza 
936,96,1,7UP,38,Beverages 
936,90,2,French Fries,29,Starters
939,36,2,Cheese Garlic Bread ,29,Starters
939,90,1,French Fries,29,Starters
940,7,1,Margherita Pizza,27,Pizza 
940,77,1,Chicken Delight ,27,Pizza 
941,7,1,Margherita Pizza,27,Pizza 
941,97,2,Pepsi,38,Beverages 
941,90,1,French Fries,29,Starters
942,23,1,Jughalbandhi,27,Pizza 
942,29,1,Veg Kolhapuri Pizza,27,Pizza 
942,90,2,French Fries,29,Starters
942,36,2,Cheese Garlic Bread ,29,Starters
945,109,1,Cheesy Veggie Pasta,55,Pasta
945,36,1,Cheese Garlic Bread ,29,Starters
945,97,1,Pepsi,38,Beverages 
947,98,1,Miranda,38,Beverages 
947,98,1,Miranda,38,Beverages 
952,15,1,Veggie Lovers Pizza ,27,Pizza 
953,17,1,Veg Supreme Pizza,27,Pizza 
953,109,1,Cheesy Veggie Pasta,55,Pasta
953,34,1,Cheese Sticks ,29,Starters
956,97,1,Pepsi,38,Beverages 
957,7,1,Margherita Pizza,27,Pizza 
957,85,1,Tandoori Chicken,27,Pizza 
958,16,1,Corn Exotica Pizza,27,Pizza 
958,97,1,Pepsi,38,Beverages 
959,7,1,Margherita Pizza,27,Pizza 
959,97,1,Pepsi,38,Beverages 
961,15,1,Veggie Lovers Pizza ,27,Pizza 
961,15,1,Veggie Lovers Pizza ,27,Pizza 
961,96,3,7UP,38,Beverages 
962,25,1,Panner Tandoori Pizza,27,Pizza 
962,97,3,Pepsi,38,Beverages 
962,90,1,French Fries,29,Starters
964,7,1,Margherita Pizza,27,Pizza 
965,7,1,Margherita Pizza,27,Pizza 
965,96,1,7UP,38,Beverages 
965,90,1,French Fries,29,Starters
965,34,1,Cheese Sticks ,29,Starters
967,90,1,French Fries,29,Starters
967,7,1,Margherita Pizza,27,Pizza 
